date,open,high,low,close,volume,amount,exchange
2026-07-01,160.19,166.88,152.31,154.48,114677718,18327904135,5.74
2026-06-30,152.05,160.66,150.00,158.82,106679541,16679550000,5.34
2026-06-29,147.80,152.99,141.00,151.00,102740101,15158410000,5.14
2026-06-26,153.70,156.22,146.50,148.76,107615543,16171920000,5.38
2026-06-25,152.00,158.66,151.00,156.86,118610237,18470620000,5.93
2026-06-24,141.50,156.35,141.32,151.53,141162383,21160850000,7.06
2026-06-23,143.58,148.30,139.60,141.70,91820109,13211880000,4.59
2026-06-22,140.78,148.00,140.00,145.59,106096058,15251150000,5.31
2026-06-18,136.11,144.63,132.88,140.70,124493714,17289250000,6.23
2026-06-17,127.91,134.88,126.68,134.70,96356212,12699100000,4.82
2026-06-16,131.00,134.34,127.93,130.14,74558301,9738550000,3.73
2026-06-15,128.59,131.00,124.89,130.52,72860409,9404700000,3.64
2026-06-12,131.64,134.87,124.37,124.88,81743729,10575820000,4.09
2026-06-11,124.00,129.08,123.01,127.40,62627599,7935640000,3.13
2026-06-10,125.00,131.18,124.50,125.34,66909414,8511490000,3.35
2026-06-09,123.50,128.03,120.89,127.30,76966277,9607780000,3.85
2026-06-08,120.00,124.28,120.00,121.92,78122559,9545780000,3.91
2026-06-05,131.00,134.75,126.70,127.40,93457433,12150120000,4.67
2026-06-04,131.00,137.57,130.00,134.88,77852688,10493290000,3.89
2026-06-03,132.00,138.75,131.85,134.00,99212745,13487780000,4.96
2026-06-02,132.98,135.50,129.30,132.48,92368820,12256040000,4.62
2026-06-01,139.76,140.80,132.04,132.44,100884914,13645020000,5.05
2026-05-29,150.92,152.38,138.49,139.91,153681264,22138460000,7.69
2026-05-28,146.00,159.05,146.00,153.70,160823175,24822320000,8.04
2026-05-27,150.00,153.52,145.00,146.22,123498375,18473690000,6.18
2026-05-26,150.73,154.44,145.50,149.18,179924241,26787300000,9.00
2026-05-25,136.00,157.60,136.00,156.00,252180226,37253710000,12.61
2026-05-22,129.33,132.18,126.50,131.33,119947788,15516840000,6.00
2026-05-21,134.00,137.63,127.10,127.22,154677671,20601830000,7.74
2026-05-20,118.00,136.63,117.50,133.81,224880056,28996720000,11.25
2026-05-19,116.16,118.88,112.68,118.82,84026978,9713880000,4.20
2026-05-18,117.40,120.34,115.60,117.62,74896919,8855420000,3.75
2026-05-15,121.00,125.00,118.48,119.02,132810054,16152500000,6.64
2026-05-14,121.92,124.04,117.00,117.90,79065015,9451220000,3.95
2026-05-13,119.00,122.50,116.04,121.86,95495148,11374280000,4.78
2026-05-12,124.44,125.44,120.00,121.98,81773234,10018640000,4.09
2026-05-11,122.99,124.57,121.90,122.52,81485972,10017300000,4.08
2026-05-08,122.90,123.19,120.05,120.31,70861810,8595730000,3.54
2026-05-07,125.11,127.48,122.22,125.34,84277403,10482930000,4.21
2026-05-06,122.00,128.12,121.74,123.10,129294051,16176670000,6.47
2026-04-30,113.31,119.88,113.30,118.73,101838285,11911530000,5.09
2026-04-29,113.35,113.82,109.78,112.47,51488254,5750210000,2.57
2026-04-28,115.24,117.64,113.02,114.00,62500730,7209850000,3.13
2026-04-27,113.25,117.69,112.60,116.58,97029586,11249550000,4.85
2026-04-24,105.58,113.25,104.61,110.96,91070363,9980490000,4.55
2026-04-23,108.88,109.12,105.20,105.98,44149101,4724880000,2.21
2026-04-22,106.80,108.08,106.50,107.87,37521674,4023320000,1.88
2026-04-21,107.33,108.15,105.68,107.46,37258425,3976050000,1.86
2026-04-20,105.93,108.60,105.01,107.96,54770262,5872450000,2.74
2026-04-17,103.82,107.30,103.27,105.23,50375527,5313220000,2.52
2026-04-16,103.50,105.00,103.00,104.18,39372135,4092710000,1.97
2026-04-15,102.05,106.10,101.80,103.91,70483900,7336890000,3.52
2026-04-14,102.10,102.28,100.38,101.52,37091059,3760620000,1.85
2026-04-13,99.85,102.80,99.72,100.64,35188522,3554990000,1.76
2026-04-10,101.00,102.79,100.68,101.01,40630514,4130860000,2.03
2026-04-09,99.40,101.20,99.20,99.72,31071653,3111340000,1.55
2026-04-08,99.02,101.54,99.02,101.18,54469712,5458090000,2.72
2026-04-07,91.50,96.99,91.20,95.62,45824231,4340590000,2.29
2026-04-03,93.41,93.94,91.76,91.78,21646163,2004260000,1.08
2026-04-02,95.50,95.79,92.51,93.20,29382832,2760190000,1.47
2026-04-01,96.40,96.70,94.81,96.33,32564808,3121620000,1.63
2026-03-31,95.80,97.40,94.00,94.05,29383903,2809490000,1.47
2026-03-30,95.80,96.19,94.00,95.83,32887003,3130020000,1.64
2026-03-27,96.00,98.39,95.87,97.50,28087527,2738260000,1.40
2026-03-26,99.55,99.70,96.55,96.88,31319889,3067690000,1.57
2026-03-25,99.67,100.94,99.28,99.99,32130643,3215490000,1.61
2026-03-24,98.90,99.37,97.25,99.25,33680326,3314640000,1.68
2026-03-23,100.01,101.99,97.40,98.04,50667126,5040930000,2.53
2026-03-20,105.20,105.72,102.18,102.18,38129475,3960180000,1.91
2026-03-19,105.01,107.69,104.51,105.96,37865595,4001790000,1.89
2026-03-18,105.78,106.88,105.25,106.60,26334592,2794680000,1.32
2026-03-17,108.54,108.58,105.99,106.02,29571804,3173440000,1.48
2026-03-16,106.31,110.32,105.50,108.60,42255497,4559220000,2.11
2026-03-13,105.02,107.83,104.50,107.06,34163326,3642160000,1.71
2026-03-12,107.00,108.55,104.95,106.01,28881977,3075180000,1.44
2026-03-11,107.23,108.80,107.00,107.10,27998297,3016800000,1.40
2026-03-10,106.90,107.75,105.70,107.28,31832190,3400130000,1.59
2026-03-09,103.97,105.79,101.63,105.14,39355967,4065900000,1.97
2026-03-06,107.00,108.34,106.17,106.50,34048616,3648250000,1.70
2026-03-05,108.60,109.26,106.09,106.90,35353181,3803230000,1.77
2026-03-04,107.32,109.70,106.12,106.69,32274958,3470640000,1.61
2026-03-03,113.23,114.75,107.69,108.31,54098700,5976580000,2.71
2026-03-02,112.88,114.20,112.30,112.53,34978475,3952730000,1.75
2026-02-27,115.03,115.87,114.32,115.00,27930878,3213700000,1.40
2026-02-26,116.13,117.23,114.29,116.65,32702183,3787600000,1.64
2026-02-25,117.00,117.50,115.85,116.13,27552856,3214690000,1.38
2026-02-24,118.03,118.18,115.62,115.82,27615568,3217730000,1.38
2026-02-13,116.23,117.98,115.56,116.93,34368740,4020570000,1.72
2026-02-12,115.55,117.18,115.11,116.58,33362254,3880740000,1.67
2026-02-11,114.00,116.14,113.50,115.01,34533673,3955490000,1.73
2026-02-10,115.20,116.90,114.85,116.20,34043651,3949080000,1.70
2026-02-09,114.80,115.07,113.70,114.93,32101810,3676020000,1.61
2026-02-06,110.14,114.60,110.14,112.70,40822691,4597780000,2.04
2026-02-05,112.99,114.50,110.39,111.80,44644765,4982590000,2.23
2026-02-04,114.50,114.99,113.15,114.84,35139347,4005040000,1.76
2026-02-03,118.69,118.84,113.46,116.03,56176952,6500020000,2.81
2026-02-02,121.40,122.59,116.80,117.06,59669081,7104970000,2.98
2026-01-30,121.33,124.94,120.07,122.97,52771906,6468950000,2.64
2026-01-29,127.60,127.81,122.16,122.40,71564935,8897090000,3.58
2026-01-28,124.99,128.99,124.99,128.55,99458326,12644230000,4.97
2026-01-27,122.00,125.74,119.22,124.05,65526157,8023170000,3.28
2026-01-26,124.01,125.88,121.90,121.92,50256650,6184620000,2.51
2026-01-23,126.80,127.37,124.03,124.96,49063104,6130480000,2.45
2026-01-22,128.98,130.82,125.57,126.80,64809463,8269000000,3.24
2026-01-21,120.93,128.89,120.58,127.19,97052521,12294760000,4.85
2026-01-20,125.00,125.50,121.81,122.18,50869359,6261670000,2.54
2026-01-19,127.05,128.50,125.12,125.29,47753702,6024300000,2.39
2026-01-16,127.50,128.82,124.88,126.99,75651257,9597580000,3.78
2026-01-15,123.49,125.50,122.33,124.44,55660423,6895090000,2.78
2026-01-14,123.51,127.60,123.50,124.49,64968391,8155390000,3.25
2026-01-13,127.49,128.15,122.86,123.63,65207280,8154110000,3.26
2026-01-12,128.52,129.62,126.68,127.66,56393564,7202160000,2.82
2026-01-09,129.15,130.01,127.77,128.88,51127488,6581950000,2.56
2026-01-08,128.95,134.68,128.91,130.15,61691881,8145420000,3.09
2026-01-07,131.84,132.82,128.85,129.98,59804086,7783880000,2.99
2026-01-06,129.00,134.20,128.77,131.84,73069695,9623980000,3.65
2026-01-05,126.84,130.17,126.20,129.95,91139404,11742870000,4.56
2025-12-31,125.99,126.20,122.40,122.83,41158685,5082730000,2.06
2025-12-30,124.45,126.69,124.00,125.28,60495831,7582350000,3.03
2025-12-29,123.00,125.65,122.02,122.50,50683161,6280270000,2.53
2025-12-26,122.58,124.79,121.16,122.10,40239799,4938390000,2.01
2025-12-25,123.00,125.99,122.66,123.08,47180958,5854140000,2.36
2025-12-24,122.50,124.38,121.11,123.41,62956098,7744550000,3.15
2025-12-23,120.50,121.58,119.02,119.90,48360142,5823920000,2.42
2025-12-22,114.60,121.44,114.60,120.45,81011369,9622360000,4.05
2025-12-19,113.20,115.48,113.00,113.63,27261250,3107490000,1.36
2025-12-18,112.80,115.72,112.75,112.80,31470029,3583330000,1.57
