ts_code,trade_date,open,high,low,close,vol,amount
300750.SZ,20250707,265.8,268.88,258.88,260.89,174664.98,4568972.965
300750.SZ,20250708,260.7,265.9,259.82,263.31,155922.92,4104293.094
300750.SZ,20250709,262.2,274.46,262.1,270.8,293883.71,7948423.739
300750.SZ,20250710,274.99,274.99,268.5,272.0,242393.49,6594201.202
300750.SZ,20250711,271.5,274.0,270.1,271.5,213281.53,5798544.034
300750.SZ,20250714,271.0,271.32,266.1,268.5,149788.84,4013693.003
300750.SZ,20250715,268.5,272.5,266.0,267.75,169526.49,4553827.628
300750.SZ,20250716,268.5,268.7,263.04,264.4,156264.79,4135841.242
300750.SZ,20250717,265.37,267.75,264.36,265.5,145110.17,3852746.251
300750.SZ,20250718,268.7,272.45,265.8,271.2,221865.58,5981601.235
300750.SZ,20250721,277.0,282.0,273.55,279.66,324862.75,9047295.149
300750.SZ,20250722,280.0,290.0,279.18,286.66,333090.29,9468912.161
300750.SZ,20250723,288.16,290.75,286.59,287.02,200189.74,5772653.126
300750.SZ,20250724,289.0,289.2,282.91,285.2,223891.14,6394082.072
300750.SZ,20250725,285.2,285.2,281.75,282.8,134326.01,3802835.26
300750.SZ,20250728,283.02,289.09,281.3,286.3,238973.36,6830867.029
300750.SZ,20250729,286.7,292.0,286.68,291.82,233945.55,6785427.583
300750.SZ,20250730,292.2,292.2,276.36,277.09,415943.01,11712764.593
300750.SZ,20250731,280.8,281.98,264.62,264.62,447103.55,12088514.551
300750.SZ,20250801,264.8,266.6,262.75,263.07,252500.02,6682814.646
300750.SZ,20250804,263.0,268.0,261.7,266.48,237681.68,6286238.371
300750.SZ,20250805,267.5,269.0,263.5,265.7,219760.4,5844478.67
300750.SZ,20250806,265.22,266.9,263.23,265.0,153233.11,4058482.396
300750.SZ,20250807,265.0,266.49,262.2,263.05,165481.04,4363462.114
300750.SZ,20250808,264.0,266.16,262.01,263.48,174282.16,4604736.203
300750.SZ,20250811,263.48,266.15,262.5,263.66,213308.76,5627553.11
300750.SZ,20250812,263.5,265.18,257.72,263.25,222407.39,5829140.856
300750.SZ,20250813,264.77,275.0,264.51,273.6,394667.69,10661084.797
300750.SZ,20250814,276.89,282.0,274.48,279.89,371707.57,10378442.059
300750.SZ,20250815,278.38,282.3,276.1,280.67,241091.69,6735591.187
300750.SZ,20250818,280.67,285.48,278.02,283.0,285287.93,8056186.542
300750.SZ,20250819,283.0,284.0,276.22,277.8,244285.85,6816442.573
300750.SZ,20250820,277.5,279.99,272.05,279.2,233534.92,6414344.337
300750.SZ,20250821,279.27,281.8,278.0,279.0,182698.14,5103914.721
300750.SZ,20250822,278.93,289.35,278.6,287.18,264218.51,7543698.628
300750.SZ,20250825,290.0,293.88,286.78,290.28,312297.2,9046692.965
300750.SZ,20250826,287.02,290.99,285.58,289.5,230244.62,6648848.315
300750.SZ,20250827,289.0,289.54,278.19,278.3,382584.29,10859010.3
300750.SZ,20250828,276.06,278.99,272.72,277.41,304664.01,8407974.991
300750.SZ,20250829,278.31,316.66,277.95,306.18,780138.92,23482893.637
300750.SZ,20250901,306.5,306.9,299.3,304.0,429964.21,13012795.663
300750.SZ,20250902,304.03,311.1,299.03,302.87,371168.89,11289093.083
300750.SZ,20250903,303.5,311.65,303.03,309.0,508974.73,15640548.986
300750.SZ,20250904,313.47,323.33,300.63,304.03,657547.54,20442631.453
300750.SZ,20250905,299.9,325.11,299.82,325.11,708197.79,22440211.716
300750.SZ,20250908,334.0,337.65,323.5,325.37,588345.78,19349632.049
300750.SZ,20250909,322.8,334.58,317.16,320.0,434023.97,14085497.658
300750.SZ,20250910,317.99,322.0,313.0,316.04,367526.83,11649703.595
300750.SZ,20250911,315.55,322.98,309.04,322.55,380344.6,12060756.827
300750.SZ,20250912,325.9,329.9,322.2,325.0,338713.16,11031032.653
300750.SZ,20250915,346.01,371.52,344.02,354.7,718410.23,25586615.241
300750.SZ,20250916,356.11,359.0,348.5,353.42,377444.65,13325722.242
300750.SZ,20250917,356.8,381.88,354.0,377.1,543771.0,20113064.234
300750.SZ,20250918,374.59,380.0,360.8,366.89,518896.9,19308545.614
300750.SZ,20250919,365.0,375.71,361.72,368.49,339148.86,12515443.887
300750.SZ,20250922,370.5,372.72,362.78,370.05,285277.63,10474484.764
300750.SZ,20250923,368.0,376.96,360.0,368.15,348493.15,12813882.35
300750.SZ,20250924,371.0,380.0,366.06,379.93,383145.48,14311189.086
300750.SZ,20250925,376.6,402.59,376.47,392.85,466393.38,18251421.708
300750.SZ,20250926,392.02,399.99,380.0,380.4,362633.26,14106499.742
300750.SZ,20250929,386.34,399.89,386.01,397.37,389647.45,15381134.07
300750.SZ,20250930,396.0,408.88,396.0,402.0,330313.1,13278445.667
300750.SZ,20251009,399.98,424.36,399.74,409.89,412088.23,16989122.538
300750.SZ,20251010,401.0,403.8,379.01,381.95,533117.98,20684330.795
300750.SZ,20251013,362.86,384.6,362.86,374.5,471509.98,17618650.277
300750.SZ,20251014,381.0,385.8,355.77,358.0,496399.39,18319370.881
300750.SZ,20251015,358.5,369.71,354.76,369.3,369933.55,13383852.917
300750.SZ,20251016,367.5,373.9,364.5,368.5,276294.67,10185159.269
300750.SZ,20251017,367.5,375.0,356.99,358.14,319057.61,11588825.855
300750.SZ,20251020,365.0,368.89,359.53,366.5,284324.2,10372513.059
300750.SZ,20251021,373.0,381.35,363.1,375.9,446328.7,16784956.526
300750.SZ,20251022,375.9,378.88,368.2,372.86,219458.79,8178934.535
300750.SZ,20251023,373.8,378.8,369.0,376.45,239980.98,8982628.027
300750.SZ,20251024,379.97,387.8,378.0,385.77,320415.78,12276721.104
300750.SZ,20251027,393.0,393.0,376.57,386.18,404510.18,15542852.577
300750.SZ,20251028,386.16,393.8,383.02,386.48,287082.95,11160796.766
300750.SZ,20251029,386.0,400.04,384.7,400.0,344740.46,13644645.226
300750.SZ,20251030,405.98,409.08,396.83,398.29,343060.88,13797530.229
300750.SZ,20251031,398.0,406.8,388.2,388.77,340483.5,13515773.431
300750.SZ,20251103,387.0,391.91,375.77,386.86,263681.77,10106566.781
300750.SZ,20251104,383.06,386.5,374.0,378.95,239390.74,9091842.153
300750.SZ,20251105,372.85,393.0,372.0,388.7,311425.32,11937586.811
300750.SZ,20251106,390.0,399.49,388.7,394.68,234474.77,9261688.312
300750.SZ,20251107,393.5,397.51,388.88,395.37,165548.92,6516185.371
300750.SZ,20251110,398.4,400.31,383.32,384.51,238959.91,9267204.047
300750.SZ,20251111,386.0,394.77,384.5,385.6,193031.75,7500041.113
300750.SZ,20251112,390.78,392.99,383.98,386.38,212998.25,8261238.197
300750.SZ,20251113,385.05,421.3,385.05,415.6,562654.49,22945441.956
300750.SZ,20251114,407.0,414.6,403.88,404.12,241721.2,9879119.548
300750.SZ,20251117,388.0,392.4,382.5,390.78,476855.03,18542294.255
300750.SZ,20251118,389.0,398.63,381.0,385.0,395658.14,15353867.657
300750.SZ,20251119,385.5,398.44,384.96,391.1,292666.86,11462348.543
300750.SZ,20251120,394.9,395.0,377.01,379.39,336742.85,12895238.923
300750.SZ,20251121,375.0,383.0,370.0,370.0,316313.35,11850710.342
300750.SZ,20251124,373.8,374.9,367.18,370.55,228458.19,8464724.008
300750.SZ,20251125,375.0,379.66,370.59,372.36,206332.46,7733117.132
300750.SZ,20251126,375.5,375.5,370.07,372.82,189106.6,7048903.988
300750.SZ,20251127,373.0,378.88,370.0,371.2,222002.59,8289124.681
300750.SZ,20251128,370.5,375.48,366.16,373.2,203402.63,7542337.298
300750.SZ,20251201,374.76,382.97,374.03,382.97,267510.13,10120862.871
300750.SZ,20251202,383.5,384.98,377.4,380.08,163484.61,6220569.502
300750.SZ,20251203,380.09,383.37,375.0,376.08,139911.35,5294871.743
300750.SZ,20251204,379.19,383.6,375.15,383.35,191658.09,7299943.081
300750.SZ,20251205,387.2,389.31,382.0,389.09,232915.59,9004580.816
300750.SZ,20251208,390.43,395.38,385.5,392.5,216597.58,8476698.7
300750.SZ,20251209,391.5,392.26,386.0,387.59,186917.73,7255076.087
300750.SZ,20251210,385.05,388.0,377.26,382.38,194334.05,7399361.241
300750.SZ,20251211,384.9,398.86,383.38,388.99,282153.78,11089031.995
300750.SZ,20251212,392.0,393.39,385.5,391.8,240020.22,9355490.916
300750.SZ,20251215,391.5,394.97,385.21,385.5,182749.93,7099251.459
300750.SZ,20251216,386.0,389.08,378.03,378.41,191216.76,7292054.835
300750.SZ,20251217,376.45,384.5,375.06,383.42,222574.08,8453303.234
300750.SZ,20251218,379.57,380.95,370.01,372.0,296392.83,11079385.459
300750.SZ,20251219,374.08,377.68,370.8,374.0,175599.45,6572807.89
300750.SZ,20251222,376.0,377.99,368.1,371.84,254935.38,9489773.616
300750.SZ,20251223,372.0,380.5,371.6,378.1,236040.86,8879315.764
300750.SZ,20251224,378.08,378.08,372.0,375.6,210883.87,7902857.946
300750.SZ,20251225,374.21,374.21,369.12,373.01,203431.44,7559336.244
300750.SZ,20251226,372.96,378.0,370.1,374.43,257236.89,9616116.053
300750.SZ,20251229,374.0,374.43,368.0,369.31,241240.72,8924502.783
300750.SZ,20251230,367.1,371.0,366.56,369.2,190308.21,7014015.794
300750.SZ,20251231,369.79,372.0,367.15,367.26,160265.97,5920431.545
300750.SZ,20260105,370.0,378.0,368.19,377.5,336881.35,12583419.574
300750.SZ,20260106,380.0,380.5,369.04,373.99,341477.1,12764795.667
300750.SZ,20260107,372.95,375.48,368.49,371.01,262285.35,9730943.679
300750.SZ,20260108,368.0,373.33,367.0,369.21,269590.35,9962397.48
300750.SZ,20260109,369.17,377.63,367.01,369.23,314771.87,11681035.309
300750.SZ,20260112,368.0,368.0,351.66,361.68,488307.39,17505537.199
300750.SZ,20260113,366.25,367.77,357.0,359.0,296709.2,10745692.37
300750.SZ,20260114,360.03,361.22,351.71,353.98,380833.65,13553362.724
300750.SZ,20260115,352.75,358.28,351.8,353.75,323709.12,11474019.06
300750.SZ,20260116,357.99,361.72,351.51,352.32,319818.42,11350569.563
300750.SZ,20260119,351.47,355.34,345.33,348.9,338642.84,11842421.264
300750.SZ,20260120,350.0,356.91,347.9,349.6,354405.89,12466608.9
300750.SZ,20260121,351.94,357.69,349.0,349.81,393935.73,13919426.405
300750.SZ,20260122,351.03,353.73,339.5,345.8,459948.18,15851213.229
300750.SZ,20260123,348.01,350.0,343.25,347.0,339761.27,11775914.386
300750.SZ,20260126,352.02,352.55,341.21,342.05,332913.86,11468681.279
300750.SZ,20260127,344.89,344.9,334.02,339.4,322948.85,10953698.562
300750.SZ,20260128,337.88,344.0,333.01,339.99,463081.71,15638344.009
300750.SZ,20260129,340.5,345.16,338.16,341.89,338444.19,11569006.794
300750.SZ,20260130,348.4,353.76,344.1,350.0,486501.15,17048600.0
300750.SZ,20260202,357.0,357.99,344.13,348.98,391917.47,13766144.458
300750.SZ,20260203,349.0,352.8,343.5,347.91,265163.25,9220045.792
300750.SZ,20260204,350.96,366.65,347.51,365.03,485316.85,17369398.062
300750.SZ,20260205,365.77,366.75,356.02,362.94,284271.57,10268243.283
300750.SZ,20260206,359.32,372.88,358.01,369.11,393726.18,14514523.059
300750.SZ,20260209,370.5,372.5,362.6,368.82,274486.3,10080946.319
300750.SZ,20260210,365.17,370.8,364.0,364.97,185634.99,6798020.174
300750.SZ,20260211,366.9,370.99,364.5,368.0,196534.59,7239804.071
300750.SZ,20260212,370.0,377.88,368.03,375.87,277545.8,10410892.196
300750.SZ,20260213,375.61,377.0,365.01,365.34,223145.32,8229700.941
300750.SZ,20260224,372.64,373.5,361.95,361.95,226951.31,8316534.693
300750.SZ,20260225,363.69,366.6,360.1,362.18,187166.39,6802110.619
300750.SZ,20260226,356.05,358.2,343.5,346.0,435413.81,15108143.01
300750.SZ,20260227,347.12,348.94,342.01,342.01,254466.2,8775054.149
300750.SZ,20260302,341.0,344.9,336.68,340.22,283513.26,9643254.984
300750.SZ,20260303,346.33,354.35,344.03,344.07,400074.79,13919957.238
300750.SZ,20260304,341.1,342.02,334.2,338.9,250804.41,8468604.902
