ts_code,trade_date,open,high,low,close,vol,amount
600519.SH,20250725,1491.4,1491.4,1453.0,1455.0,41911.26,6140078.741
600519.SH,20250728,1453.0,1454.99,1436.3,1438.66,38586.32,5560966.386
600519.SH,20250729,1439.6,1448.79,1435.01,1439.0,26304.08,3785848.102
600519.SH,20250730,1444.0,1457.16,1437.0,1449.44,31867.71,4612883.04
600519.SH,20250731,1443.0,1444.87,1418.0,1421.67,51797.51,7386302.758
600519.SH,20250801,1421.87,1425.96,1414.0,1417.0,29635.59,4200850.79
600519.SH,20250804,1415.0,1419.8,1414.0,1419.0,18687.95,2647105.74
600519.SH,20250805,1421.0,1429.94,1417.11,1427.74,25342.27,3607931.488
600519.SH,20250806,1429.0,1429.0,1419.3,1423.88,23699.28,3372334.94
600519.SH,20250807,1423.88,1427.7,1420.06,1422.35,28001.34,3988765.795
600519.SH,20250808,1423.05,1426.5,1418.0,1420.97,18655.28,2651478.118
600519.SH,20250811,1423.5,1451.99,1423.0,1445.0,47159.07,6794034.09
600519.SH,20250812,1449.0,1465.07,1436.0,1437.04,42019.23,6095342.036
600519.SH,20250813,1425.0,1433.68,1420.0,1420.05,65527.54,9325460.101
600519.SH,20250814,1420.94,1447.51,1420.94,1426.99,48129.3,6897535.33
600519.SH,20250815,1426.01,1428.66,1420.22,1422.08,47581.65,6772436.997
600519.SH,20250818,1426.99,1436.64,1423.1,1428.5,47377.98,6773477.871
600519.SH,20250819,1433.5,1446.66,1432.0,1438.0,46371.86,6678541.001
600519.SH,20250820,1438.0,1452.8,1430.02,1450.0,45804.66,6623095.725
600519.SH,20250821,1453.45,1454.99,1443.65,1448.25,30890.57,4470441.662
600519.SH,20250822,1448.88,1464.0,1444.77,1463.95,44970.58,6544867.368
600519.SH,20250825,1470.01,1496.0,1466.0,1490.33,65324.55,9676719.498
600519.SH,20250826,1490.32,1494.23,1480.01,1481.61,39602.13,5883917.0
600519.SH,20250827,1481.88,1484.93,1448.0,1448.0,56006.09,8184169.113
600519.SH,20250828,1447.97,1456.1,1438.77,1446.1,39281.77,5683673.273
600519.SH,20250829,1453.0,1482.58,1452.0,1480.0,62256.48,9159701.454
600519.SH,20250901,1482.2,1488.0,1465.7,1476.1,45123.38,6658918.555
600519.SH,20250902,1478.66,1509.0,1478.0,1491.3,56688.37,8470012.816
600519.SH,20250903,1491.0,1503.5,1466.0,1480.55,45045.03,6656011.145
600519.SH,20250904,1472.0,1479.3,1460.47,1472.66,47746.76,7017084.75
600519.SH,20250905,1471.0,1486.97,1464.0,1483.0,37388.48,5519312.163
600519.SH,20250908,1483.0,1506.44,1477.5,1501.23,51382.98,7682065.696
600519.SH,20250909,1505.0,1509.95,1493.42,1505.0,35742.77,5366650.005
600519.SH,20250910,1506.66,1529.95,1496.0,1522.01,49663.31,7541460.049
600519.SH,20250911,1522.01,1526.02,1508.5,1523.5,37238.96,5642778.456
600519.SH,20250912,1526.0,1538.02,1510.53,1516.0,33722.09,5132184.935
600519.SH,20250915,1515.87,1517.48,1501.5,1515.1,25827.03,3901929.718
600519.SH,20250916,1515.1,1520.99,1496.21,1499.98,32717.89,4928374.478
600519.SH,20250917,1499.99,1510.28,1490.01,1493.0,30330.54,4534770.634
600519.SH,20250918,1492.0,1497.8,1463.5,1467.96,49721.25,7347477.479
600519.SH,20250919,1467.99,1475.5,1457.01,1467.97,32636.62,4784528.851
600519.SH,20250922,1465.09,1467.97,1450.01,1453.35,34947.08,5085057.536
